wavelength,spectrum,dev
1.4714612704992684,1285285.4987581596,13294.12957973658
1.4714714729876055,1247270.9016056473,12797.50829072094
1.4714816741940302,1195187.620282949,11985.016151157242
1.4714918741190561,1139247.7022352635,11155.160408375592
1.4715020727631953,1088921.6715503212,10652.321869912008
1.4715122701269594,1051360.095370778,10349.75045092275
1.471522466210862,1058617.122469568,10335.208989739642
1.471532661015415,1100823.156492065,10666.422802834792
1.4715428545411302,1156143.7968631377,11076.662236990056
1.4715530467885205,1193781.3839307239,11405.062617108964
1.4715632377580972,1218391.3878813195,11771.218043470919
1.471573427450373,1242612.665369926,12293.922422371177
1.4715836158658584,1261486.120088094,13130.736251607424
1.4715938030050668,1296920.5764322784,15041.171765404066
1.471603988868509,1316723.8360073068,18428.846636564158
1.4716141734566974,1357173.047622934,22762.234902662407
1.4716243567701428,1298596.8808318002,22051.512031177794
1.471634538809357,1231882.115514968,17996.890791817666
1.4716447195748505,1200165.596160408,15154.123599892991
1.4716548990671363,1158856.1969540745,13535.361123178578
1.4716650772867241,1153773.7881490043,13234.751426761217
1.4716752542341263,1176103.2903347204,13665.361167490571
1.4716854299098532,1194399.5064643973,14430.307420905629
1.4716956043144154,1220235.8570402358,15824.704330767614
1.4717057774483246,1209593.7436250395,19700.328874254512
1.4717159493120913,1207713.8603814095,20347.36261087259
1.4717261199062266,1211795.6766646088,20731.142580816828
1.4717362892312407,1238078.7606111881,22055.887558873135
1.4717464572876442,1298880.760066399,26401.732996926734
1.4717566240759477,1324351.9465370513,34987.32954701314
1.4717667895966615,1386330.5198870779,57559.32531664396
1.4717769538502958,1456276.7119861012,113050.80263970864
1.4717871168373615,1629415.1483668743,283315.8128491203
1.4717972785583686,1249808.393036674,257710.2677227328
1.4718074390138258,1498338.6926684398,185293.39249822244
1.471817598204245,1429982.913441663,84370.59969456289
1.4718277561301354,1378531.5644342909,46201.78254273942
1.4718379127920067,1370423.478228211,31321.229522757596
1.4718480681903685,1330910.163097369,24241.466171698423
1.4718582223257315,1310752.6662402882,20774.550338995945
