wavelength,spectrum,dev
1.4682447276692976,1362322.6156675855,17467.13050326859
1.468255351224906,1378227.3170969163,20715.269432093017
1.4682659733362993,1341015.21742887,18824.34148055986
1.468276594004015,1261178.9080358392,14588.645246075668
1.4682872132285911,1185957.5797233393,11745.821280016593
1.4682978310105648,1143940.7943049103,10511.777173828335
1.4683084473504746,1126924.1599208394,10050.81346994722
1.4683190622488576,1113886.843476109,9782.87055609432
1.4683296757062512,1105480.0355229971,9663.135005696386
1.468340287723192,1121278.4991070863,9856.916535969116
1.4683508983002178,1149616.8840010974,10380.353638491342
1.468361507437866,1204631.279826272,11709.218296882838
1.468372115136674,1274054.9131249439,14207.952439801791
1.4683827213971776,1357156.5614144448,16916.59163663279
1.4683933262199147,1397942.0091497875,16777.724738747176
1.4684039296054219,1360607.793410192,14237.25145522725
1.4684145315542358,1292924.6385068398,11957.986163360018
1.4684251320668935,1249038.8647230798,10807.372298793047
1.4684357311439304,1229899.772520937,10310.90563397841
1.4684463287858844,1225679.7884280751,10187.281348299819
1.4684569249932915,1233870.8042694603,10332.619349697898
1.4684675197666879,1246731.672921987,10574.925164684128
1.46847811310661,1261790.0060860505,10971.036726192584
1.4684887050135937,1277147.9610372235,11611.375929743692
1.4684992954881753,1283817.619701225,12924.602849239815
1.4685098845308904,1309775.138965286,16204.913093734953
1.4685204721422758,1345327.8606278242,24106.445876666538
1.468531058322867,1399272.308498121,36525.705169456545
1.4685416430731995,1449342.4066771965,37496.760319975794
1.4685522263938091,1393460.6560910721,26740.440252250126
1.4685628082852311,1352230.6551197674,21591.152971546533
1.468573388748002,1348430.20888869,21395.036001589626
1.4685839677826558,1356690.8716336477,21917.854197126617
1.4685945453897298,1359523.7893139466,19089.96483372242
1.4686051215697575,1331524.3482795642,15282.960279916088
1.468615696323275,1319961.3588890273,12952.43786071212
1.468626269650817,1320186.2862774644,11751.7135468032
1.468636841552919,1311311.055650073,11158.93582474484
1.4686474120301158,1325184.3911513435,11029.139326891529
1.4686579810829419,1331959.8225700606,10960.168537473905
1.4686685487119322,1323302.2915957058,10830.415432714817
1.468679114917622,1307022.3385821597,10722.57808465945
1.4686896797005455,1300996.3924018962,10812.370936012205
1.4687002430612373,1313974.836449011,11070.11978214179
1.468710805000232,1333471.1010622147,11203.336875229197
1.4687213655180635,1330849.1831895092,10925.826472169152
1.4687319246152666,1311956.7034822016,10446.51266537864
1.4687424822923754,1294729.292760465,10117.348012623353
1.4687530385499241,1277445.6624137827,9883.940310158274
1.4687635933884462,1253047.3184831075,9692.713296394608
1.4687741468084763,1217152.0583187062,9546.783222728804
1.4687846988105486,1166473.4960690741,9296.726288179352
1.4687952493951966,1101086.2573936183,8975.697644624679
1.468805798562953,1044149.7060882234,8704.362097836083
1.4688163463143526,1003320.4599742291,8571.655575653092
1.4688268926499295,991484.0836097469,8670.622481860324
1.4688374375702153,1003478.440029019,8871.29256109242
1.4688479810757455,1010040.4653070321,8972.431216333776
1.4688585231670521,985773.860422223,8736.768122116631
1.4688690638446689,983236.9707005388,8647.867154137466
1.4688796031091285,1043939.442313605,8928.165243473402
1.4688901409609647,1127448.2040702377,9300.78708185959
1.4689006774007096,1203711.22066832,9690.51225539775
1.4689112124288974,1247766.345879307,9899.839714160931
1.4689217460460595,1264684.177671169,10061.050182778683
1.4689322782527297,1255034.148559367,10123.261657861283
1.4689428090494405,1233321.3858642036,10162.755871557474
1.4689533384367242,1226288.7054043673,10279.114557204079
1.4689638664151132,1226192.1801450292,10538.716886289389
1.4689743929851407,1244941.9663793007,11065.23283184146
1.4689849181473382,1255995.825769299,11620.398618678326
1.468995441902238,1261367.9728343238,12211.771784458422
