wavelength,spectrum,dev
1.8889707616473048,208614.59712859572,9796.490010984437
1.8889848855665632,226385.20558518264,9760.301259334727
1.888999007734306,263816.87702715874,12113.538315676511
1.8890131281508937,283856.3988570324,14234.979975658449
1.8890272468166873,260876.9487272541,12811.489402689305
1.8890413637320445,244180.27836905353,11488.921364516003
1.8890554788973255,242792.1878064241,12087.798605691305
1.889069592312887,266846.5202707595,13715.415764026078
1.889083703979088,272608.2766418965,14610.646064058606
1.889097813896285,255019.85626027558,14530.897241313642
1.8891119220648356,204942.63714029657,10615.138967328208
1.8891260284850953,231796.74378524683,13305.815389187108
1.8891401331574207,240715.83977054182,14684.872865463785
1.8891542360821656,240994.16177649124,14876.356558904756
1.8891683372596857,261004.41184777647,17279.457831772786
1.8891824366903358,261961.39336189078,18243.053926466928
1.8891965343744686,238220.82677494423,16144.877920475781
1.8892106303124376,195398.34151032695,12066.954739520801
1.8892247245045952,169298.57510588024,10323.766353109035
1.8892388169512955,216691.14853015155,16012.247280416395
1.8892529076528881,381097.2663195145,67834.0339112402
1.8892669966097269,247544.11834460305,40119.17751103531
1.8892810838221594,265542.1200551555,42960.32431297923
1.8892951692905375,396689.7735472646,83987.53115208939
1.8893092530152114,509792.21513420384,142543.8402454879
1.8893233349965295,449555.77090590994,121203.43845064948
1.8893374152348412,503742.9573008921,152416.5371999846
1.889351493730495,970780.0762857819,617336.5631126185
1.8893655704838372,313489.51699587976,115764.90469560908
1.8893796454952174,153663.1142265798,47098.22250179336
1.8893937187649805,145513.03105436967,50895.65309748846
1.8894077902934738,214585.73440145975,72612.77438366115
1.8894218600810426,337384.31168911414,145965.08557370736
1.8894359281280324,930784.7697272962,1356554.6865404532
1.8894499944347876,289176.3114606474,405200.48723718553
1.8894640590016534,26574.962603877775,83453.34662209309
1.8894781218289731,132179.31323488048,111808.55402758782
1.889492182917089,127416.30681310101,61505.654684392764
1.8895062422663456,38534.32234678527,60352.06871252007
1.889520299877084,5704.876847871677,103000.62681612228
1.8895343557496471,84230.63684070487,86214.69150596335
1.8895484098843747,475665.3689533864,1255645.3290085865
1.8895624622816096,183967.78934820916,162489.09379616982
1.8895765129416906,-1535209.6700190934,5857300.459763955
1.8895905618649576,-116407.32887694091,132401.36279477805
1.8896046090517502,-218435.164673729,270448.81739604665
1.8896186545024078,-536694.9337786324,807992.3673036476
1.889632698217268,-14071.728736096216,117438.78628811093
1.8896467401966686,200747.49587325976,222234.85589468182
1.8896607804409475,-92852.87792998969,250340.96014717294
1.8896748189504409,17453.68433850642,122959.42242335621
