wavelength,spectrum,dev
1.4687319246152666,1323824.9040221747,10636.784804564775
1.4687424822923754,1306466.1533392493,10301.862224196222
1.4687530385499241,1288984.698559598,10064.075116992293
1.4687635933884462,1264434.940117682,9869.56049175198
1.4687741468084763,1228239.8189044872,9720.810879142846
1.4687846988105486,1177031.1529148193,9465.925783850658
1.4687952493951966,1111013.8862374867,9138.758452763546
1.468805798562953,1053636.2470732667,8863.019948887133
1.4688163463143526,1012404.0225090197,8727.741021746613
1.4688268926499295,1000475.1630840213,8828.359990379475
1.4688374375702153,1012447.5692613208,9031.477881508448
1.4688479810757455,1019193.0193632123,9135.481189243448
1.4688585231670521,994682.9368470772,8895.299004147324
1.4688690638446689,991938.4619060977,8803.278436656507
1.4688796031091285,1053254.992490442,9088.92736085777
1.4688901409609647,1137563.851938447,9468.347942167693
1.4689006774007096,1214545.7893353254,9865.275586987436
1.4689112124288974,1258891.5112768835,10077.635459752884
1.4689217460460595,1276012.7834444758,10242.270582871432
1.4689322782527297,1266295.9332327233,10305.552541663437
1.4689428090494405,1244447.2491573186,10346.001116414101
1.4689533384367242,1237323.7441967025,10464.511295395017
1.4689638664151132,1237298.4064366138,10729.362132046122
1.4689743929851407,1256220.0882991583,11265.165017405368
1.4689849181473382,1267288.9083355793,11829.625492719508
1.468995441902238,1272748.1099546712,12432.153491395304
1.469005964250373,1294070.4103965193,12962.955564646103
1.4690164851922745,1307067.4362395867,13403.760610168962
1.4690270047284752,1307656.3705581776,13945.759517512945
1.4690375228595067,1327212.9499420926,15437.440729413287
1.4690480395859011,1361583.322895317,17623.137593035244
1.4690585549081896,1383635.500112052,18439.048863968645
1.4690690688269046,1380610.2872429786,17011.725345192986
1.4690795813425768,1390870.9887340856,15428.52086835663
1.4690900924557388,1407276.4235024562,14867.43346389
1.4691006021669217,1393633.4858400354,15025.036711151064
1.4691111104766565,1396060.2928185684,42291.283580606076
1.4691216173854749,1410041.923505161,54112.37470631115
1.4691321228939076,1454968.798155153,81310.00412009713
1.4691426270024865,1578214.5659156514,134698.690405755
1.4691531297117422,1476528.1270537565,131995.0708068015
1.469163631022205,1405455.8487037492,91114.63224796372
1.4691741309344075,1439232.7656949682,73705.74684473943
1.4691846294488788,1479861.0689691252,72518.67795687147
1.4691951265661498,1525922.2234297623,83784.84076386332
1.4692056222867524,1674461.1461144474,123517.26258357812
1.4692161166112163,1736918.4289368428,186960.49335467097
1.4692266095400717,1768053.4474671397,290653.8234025223
1.4692371010738496,1551612.2295440454,310354.9729290346
1.46924759121308,1169555.4236845109,124383.16860070762
1.4692580799582928,1235496.3812713162,76549.01047202385
1.469268567310019,1213828.8340777177,49988.206429939426
1.469279053268788,1206650.6104636597,40218.65836638374
1.4692895378351296,1198446.3292674946,35105.75691883156
1.4693000210095748,1205745.3795752947,32339.197526054817
1.4693105027926519,1221114.6285189814,31174.403563777487
1.469320983184892,1281606.8239687236,32164.503776077065
1.4693314621868239,1357304.0975267284,33339.06485335876
1.4693419397989773,1371478.1436535774,33534.52941355547
1.4693524160218818,1377129.3387294651,33466.57303866797
1.4693628908560674,1351851.5251913373,33698.22934296252
1.4693733643020626,1317766.1597483233,33786.58431379829
1.4693838363603968,1283858.3619954735,34792.95765120711
1.4693943070315991,1269633.8609845268,36014.80445898831
1.469404776316199,1337700.7494455415,38926.46244191313
1.4694152442147255,1341930.2468647081,40255.57686990812
1.4694257107277073,1341431.3680488092,42106.88854049157
1.469436175855673,1473358.746805238,48164.910683425886
1.469446639599152,1551225.9540604905,56238.42042197475
1.4694571019586726,1522070.925877409,60709.47185003266
1.469467562934763,1455418.5688797366,65147.65699348585
1.4694780225279522,1464690.7629462844,74875.06720480588
1.469488480738769,1568635.2936898821,94244.33563519549
1.4694989375677407,1560311.4024426858,121082.50973469293
1.4695093930153962,1610757.8775082242,172165.60912384925
1.469519847082264,1870857.0020555884,325357.37819034606
1.4695302997688715,3232079.2323766886,1531949.875413976
1.4695407510757479,3509973.004313016,3845994.184638113
1.4695512010034197,586699.9304795134,861741.394972264
1.469561649552415,159387.52473816136,4694671.359588021
1.4695720967232628,-543345.4797736442,1539887.6565633882
1.4695825425164897,7722.008479400777,757912.6789651444
1.4695929869326232,-3241528.4103902513,16771876.100401035
1.4696034299721914,85097972.27552614,4077408281.1393075
1.469613871635722,1104238.2396027017,4047898.0753203183
1.469624311923742,5304615.1703107245,27544684.289680153
1.4696347508367784,8548432.702529937,71969790.7868443
1.4696451883753583,1201868.3449721548,2693612.4317801306
1.4696556245400094,-534661.8579641702,3560048.5258156946
1.469666059331259,-7325918.383340075,158628503.12553594
1.4696764927496329,-276129.87778493075,1451938.2673037092
1.4696869247956594,-30521.049040403155,816548.3310363345
1.4696973554698645,-58849.003925805984,690208.7292546354
1.4697077847727749,596717.2614410203,1253219.0678962404
1.469718212704917,1402402.5674761285,1516808.0962545695
1.4697286392668178,3789405.1974926763,5064133.54410609
1.4697390644590043,2044759.751472542,687569.6116233894
1.469749488282002,1305225.8017494315,297786.5922294173
1.4697599107363373,1357007.6695506477,234708.1091073169
1.4697703318225364,1389957.3107853155,193250.86521121245
1.4697807515411263,1298653.648019886,152945.92675549744
1.4697911698926316,1263440.9650554522,118038.03324915584
1.4698015868775802,1306424.426675562,89816.18067043347
1.4698120024964965,1363938.1813195653,71148.81144757495
1.4698224167499065,1414827.499968331,58832.020113377584
1.4698328296383367,1346727.7159077404,47538.15508069639
1.4698432411623117,1240918.2635647657,39867.76904629037
1.469853651322358,1144759.6676304701,35334.71155745841
1.4698640601190005,1129429.4678279513,33520.47422439744
1.4698744675527655,1174545.6716084664,34186.72797295279
1.4698848736241772,1244279.7132139138,34162.887693602395
1.4698952783337613,1296229.059913975,32480.605743589396
1.4699056816820433,1320665.5588211527,30655.631313129576
1.4699160836695477,1331736.790539957,29479.171016849097
1.4699264842968,1364525.98173566,29905.12676778187
1.4699368835643252,1368987.039189318,29927.238261220915
1.4699472814726473,1347771.519942361,29851.520482544773
1.4699576780222923,1375775.6544937354,30385.65202514945
1.4699680732137836,1407812.0841581807,29935.457335296003
1.4699784670476468,1407714.0915546827,28584.224188951794
1.4699888595244066,1405294.1976096348,27458.242095260364
1.469999250644586,1357897.5803248743,25691.40931692124
1.4700096404087108,1337782.8170812146,24635.56354777593
1.4700200288173044,1330971.7242300336,23898.23951401763
1.470030415870892,1310188.3465433698,23240.86546829981
1.4700408015699964,1315007.4275852125,23296.119384142126
1.4700511859151426,1295619.756767115,22889.944951744896
1.4700615689068537,1276854.4768703731,22177.304024008732
1.4700719505456545,1261512.39731898,21934.141230234367
1.470082330832068,1255385.5569970945,21877.445291967117
1.4700927097666188,1274825.6819619776,22059.296509087395
1.4701030873498298,1272260.0146669862,22184.845762084144
1.470113463582225,1243489.1924951288,21656.875370200145
1.4701238384643271,1211792.3246599294,20804.04062342434
1.4701342119966603,1194495.5587838357,20434.062551490148
1.4701445841797471,1126934.3111007256,19843.294313863567
1.4701549550141115,1103889.850478392,19794.395531868722
1.4701653245002764,1086049.3668534476,19578.6842803491
1.4701756926387646,1094290.8500239754,19558.452560713817
1.4701860594300997,1141318.8521780358,19980.06476866938
1.4701964248748036,1123342.5658363875,19855.38380620633
1.4702067889733998,1071142.4568695729,19488.822264100432
1.4702171517264107,1031165.2787740638,19313.71916343088
1.470227513134359,1025782.7802326329,19853.352688059545
1.4702378731977677,1082795.4921751106,20714.276703576925
1.4702482319171588,1157206.83563339,21605.635388613326
1.470258589293055,1209268.7868439297,22203.851840335035
1.4702689453259783,1203901.4862717758,22431.984217475652
1.4702793000164514,1219363.012477651,23331.163762735832
1.4702896533649954,1216274.713758433,24518.034427693496
1.4703000053721338,1234106.0211613695,26604.795048704535
1.4703103560383879,1334757.1930092704,32282.907314655826
1.470320705364279,1408723.515412693,42721.65392695802
1.47033105335033,1420936.273325006,64745.92231400069
1.4703413999970625,1547719.7766266207,118941.30223194447
1.4703517453049972,1489387.1800636828,165074.9986222442
1.470362089274657,1978190.6219238872,304002.3334592137
1.4703724319065625,1601225.8139391912,189609.74317170784
1.4703827732012353,1457725.8154626025,99183.46916572761
1.4703931131591967,1443681.537888958,56944.25169834629
1.4704034517809683,1470098.9384552198,42247.943446706195
1.4704137890670708,1472037.8416420524,36242.329149818725
1.4704241250180254,1471885.1299301777,34706.05541895756
1.4704344596343535,1456188.9966979078,34399.25769729572
1.470444792916576,1470047.9253656033,36942.42257566152
1.470455124865213,1406464.9318738612,39758.78362278339
1.470465455480786,1449503.3237236615,47710.05372872577
1.4704757847638157,1476517.7763807534,61623.395974583706
1.4704861127148223,1569806.5321579634,95180.39430157053
1.4704964393343265,1841503.7130196237,222611.20864915426
1.4705067646228487,3014313.6548131094,1336307.848068234
1.4705170885809093,-2468386.585818409,2913571.065819043
1.4705274112090285,4276670.457372039,3751752.067255549
1.4705377325077265,3146827.240039083,1063739.4264340443
1.4705480524775243,1931472.1166832468,282178.9227042014
1.4705583711189403,1692774.9600417775,159692.67307880943
1.4705686884324953,1718970.9970002717,142370.3809038816
1.4705790044187095,1618463.1649483668,129225.66431631536
1.4705893190781019,1813217.570880788,185431.31992163698
1.4705996324111934,2098561.454612841,266884.82505431946
1.4706099444185021,2259418.406000438,404649.8296573084
1.4706202551005487,3052452.3209218173,1191532.034618043
1.4706305644578528,2377444.982464866,2133383.2622558665
1.4706408724909323,2090392.7436942728,10256748.162634566
1.4706511792003079,10562017.302560937,110578873.2940624
1.4706614845864983,-1375911.1283144734,4690002.721269565
1.4706717886500225,-11057939.231672758,58572616.56176626
1.4706820913914003,4107885.5196541944,8578950.481783966
1.4706923928111502,1522616.9538823362,1939527.3566321516
1.4707026929097904,63321851.355972245,8525927446.207759
1.4707129916878405,-51992.66211528383,433660.7206035824
1.470723289145819,-43987.890534401944,430272.3237779501
1.4707335852842451,-1268302.4303438605,1459279.1557761559
1.4707438801036365,-284746.69658842625,1291430.4650522985
