wavelength,spectrum,dev
1.468170322296822,1020976.0088144781,8638.726998153763
1.4681809559770023,1052401.8626287112,8860.985158659483
1.4681915882092,1111455.6768246861,9267.716704096949
1.4682022189939543,1181695.5141565772,9821.331312018126
1.4682128483318027,1239637.1269727324,10420.676698633166
1.4682234762232844,1286377.258956525,11338.099591997192
1.4682341026689365,1305527.7262947268,13069.336813692227
1.4682447276692976,1333327.6599335824,16731.044689034657
1.468255351224906,1348949.4633871822,19843.32577519177
1.4682659733362993,1312442.5959084,18030.563324567862
1.468276594004015,1234248.5018912968,13972.729093409329
1.4682872132285911,1160605.4379687782,11249.411685874147
1.4682978310105648,1119520.152768923,10067.75808150776
1.4683084473504746,1102868.2311612114,9626.2402272928
1.4683190622488576,1090119.215984408,9369.659564990934
1.4683296757062512,1081883.6013650328,9254.948005206477
1.468340287723192,1097345.50116384,9440.507452131968
1.4683508983002178,1125077.2670335756,9941.782971880357
1.468361507437866,1178919.9032151212,11214.544069017422
1.468372115136674,1246892.1650419517,13608.276180863628
1.4683827213971776,1328258.2806537051,16203.255563065562
1.4683933262199147,1368090.1283814178,16069.203888606102
1.4684039296054219,1331564.3197376095,13635.833073539034
1.4684145315542358,1265298.7347158133,11452.426265894592
1.4684251320668935,1222362.5531098496,10350.507275686328
1.4684357311439304,1203615.3739342259,9874.897139244295
1.4684463287858844,1199494.190936309,9756.578637863042
1.4684569249932915,1207493.2339122295,9895.619426569767
1.4684675197666879,1220068.5144767107,10127.544261245179
1.46847811310661,1234829.8025906817,10507.04255307345
1.4684887050135937,1249814.4398663188,11120.017471373427
1.4684992954881753,1256364.7247722512,12378.092193240223
1.4685098845308904,1281840.49552466,15520.788895125384
1.4685204721422758,1316686.0046605591,23089.84971862862
1.468531058322867,1369455.5004101105,34985.909408487285
1.4685416430731995,1418399.7829184628,35914.39998673697
1.4685522263938091,1363717.2527559411,25611.2688922353
1.4685628082852311,1323401.9529058156,20679.755115841053
1.468573388748002,1319716.404758983,20492.27249958593
1.4685839677826558,1327761.037971725,20992.610955268243
1.4685945453897298,1330415.5111143163,18282.332970762145
1.4686051215697575,1302978.5724290197,14635.635035234587
1.468615696323275,1291684.761808245,12403.866413721378
1.468626269650817,1291914.5581273288,11253.936190908704
1.468636841552919,1283210.9130352484,10686.139589665205
1.4686474120301158,1296800.1983137303,10561.838575289665
1.4686579810829419,1303416.5028185556,10495.613647418424
1.4686685487119322,1294970.7327188335,10371.513341328311
1.468679114917622,1279023.6827401398,10268.149509338344
1.4686896797005455,1273121.1694655586,10354.10739458408
1.4687002430612373,1285831.6551960155,10601.013248769581
1.468710805000232,1304904.6695313102,10728.425559247982
1.4687213655180635,1302329.6719854635,10462.518866235641
1.4687319246152666,1283825.547464422,10003.398726064364
1.4687424822923754,1266974.105398485,9688.258353362531
1.4687530385499241,1250049.9073357761,9464.717760904077
1.4687635933884462,1226193.3742571138,9281.653090097838
1.4687741468084763,1191074.5072497225,9141.870824576865
1.4687846988105486,1141463.3164948148,8902.349241284082
1.4687952493951966,1077467.7676924283,8594.861720338875
1.468805798562953,1021771.9371339412,8335.176231128222
1.4688163463143526,981809.1086472077,8208.058245932278
1.4688268926499295,970230.4804607515,8302.787950391055
1.4688374375702153,981932.6071543796,8494.631014786579
1.4688479810757455,988387.2710391814,8591.746545805781
1.4688585231670521,964634.5594768792,8366.02048665888
1.4688690638446689,962102.4356719294,8280.498770277996
1.4688796031091285,1021520.8098520112,8548.971448790015
1.4688901409609647,1103251.0172112167,8905.790729873623
1.4689006774007096,1177886.6144370222,9279.011941090888
1.4689112124288974,1220968.0905517505,9479.256547212135
1.4689217460460595,1237536.7021068456,9633.756407763918
1.4689322782527297,1228099.116208601,9693.312681398116
1.4689428090494405,1206868.2039947577,9731.193013670576
1.4689533384367242,1199978.9748241557,9842.62445912513
1.4689638664151132,1199903.8878453998,10091.350919971332
1.4689743929851407,1218252.2825885697,10595.454331889294
1.4689849181473382,1229046.2703059227,11126.85811295083
1.468995441902238,1234313.5488834202,11693.246922500059
1.469005964250373,1254956.2290782297,12192.140712242426
1.4690164851922745,1267582.918365505,12607.057184776135
1.4690270047284752,1268132.5317179565,13116.62198906462
1.4690375228595067,1287133.8088393065,14519.34847369499
1.4690480395859011,1320463.4802338684,16574.266600343122
1.4690585549081896,1341804.2692131435,17341.7509199377
1.4690690688269046,1338929.7894684372,16000.793820981511
1.4690795813425768,1349045.3372243827,14514.064102826678
1.4690900924557388,1364813.7380081702,13984.824261271773
1.4691006021669217,1351522.116538822,14132.398925351627
1.4691111104766565,1335912.0192561874,15437.566602996223
1.4691216173854749,1373401.2108600345,51336.63455474379
1.4691321228939076,1417160.6360344805,77139.13850229347
1.4691426270024865,1537203.7949321058,127789.20684765885
